,test_name,model_arch,transforms,normalized,weight_decay,split_num,max_error,min_error,avg_error,train_df,max_AUROC
0,resnet50_0.01_modified_True,resnet50,modified,True,0.01,1,0.583333,0.458333,0.517857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.885289    1.183645    0.583333  0.361111   NaN
1      1    0.939539    1.020023    0.458333  0.458333   NaN
2      2    0.913120    1.296723    0.583333  0.354167   NaN
3      3    0.856126    0.840326    0.458333  0.472222   NaN
4      4    0.878024    1.106735    0.541667  0.416667   NaN
5      5    0.923406    1.235198    0.500000  0.430556   NaN
6      6    0.881895    1.395387    0.500000  0.402778   NaN",0.47222200000000003
1,resnet50_0.01_modified_True,resnet50,modified,True,0.01,2,0.666667,0.541667,0.6250001428571428,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.970197    1.381290    0.625000  0.256944   NaN
1      1    0.961423    1.461656    0.625000  0.388889   NaN
2      2    1.044943    1.136819    0.541667  0.402778   NaN
3      3    0.969762    1.028398    0.666667  0.402778   NaN
4      4    0.963644    1.084694    0.625000  0.402778   NaN
5      5    0.938579    1.013449    0.666667  0.375000   NaN
6      6    0.935598    1.074454    0.625000  0.333333   NaN",0.402778
2,resnet50_0.01_modified_True,resnet50,modified,True,0.01,3,0.666667,0.375,0.4761905714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.949918    0.860225    0.541667  0.465278   NaN
1      1    1.121092    1.261556    0.666667  0.402778   NaN
2      2    1.095566    1.123651    0.458333  0.409722   NaN
3      3    0.981821    0.842585    0.416667  0.618056   NaN
4      4    0.976596    0.781113    0.375000  0.569444   NaN
5      5    0.908529    0.847336    0.458333  0.534722   NaN
6      6    0.856265    0.867876    0.416667  0.513889   NaN",0.618056
3,resnet50_0.01_modified_True,resnet50,modified,True,0.01,4,0.590909,0.363636,0.4805194285714286,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.886737    0.945104    0.454545  0.487603   NaN
1      1    1.052588    0.995162    0.363636  0.553719   NaN
2      2    1.007676    0.960352    0.500000  0.479339   NaN
3      3    0.918468    0.917477    0.590909  0.528926   NaN
4      4    0.904642    0.727185    0.409091  0.743802   NaN
5      5    0.859179    1.061721    0.545455  0.595041   NaN
6      6    0.789335    0.849390    0.500000  0.628099   NaN",0.7438020000000001
4,resnet50_0.01_modified_True,resnet50,modified,True,0.01,5,0.708333,0.458333,0.6011905714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.850502    0.915667    0.541667  0.444444   NaN
1      1    0.975252    0.872920    0.458333  0.513889   NaN
2      2    1.030956    1.062459    0.708333  0.340278   NaN
3      3    1.059692    1.317130    0.541667  0.250000   NaN
4      4    1.151330    1.102017    0.666667  0.326389   NaN
5      5    0.989551    1.113308    0.666667  0.270833   NaN
6      6    0.921933    1.045777    0.625000  0.305556   NaN",0.513889
5,resnet50_0.01_modified_True,resnet50,modified,True,0.01,6,0.583333,0.375,0.49999985714285716,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.918233    0.800057    0.500000  0.576389   NaN
1      1    1.078119    0.796709    0.375000  0.604167   NaN
2      2    1.020195    0.974025    0.416667  0.569444   NaN
3      3    0.961645    0.968445    0.583333  0.520833   NaN
4      4    0.909549    1.066161    0.583333  0.500000   NaN
5      5    0.922828    0.919287    0.458333  0.506944   NaN
6      6    0.826180    0.884328    0.583333  0.486111   NaN",0.604167
6,resnet50_0.01_modified_True,resnet50,modified,True,0.01,7,0.541667,0.375,0.4642857142857143,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.014042    0.853048    0.541667  0.493056   NaN
1      1    1.050592    1.303907    0.500000  0.458333   NaN
2      2    1.048070    1.063252    0.375000  0.555556   NaN
3      3    1.054993    1.455783    0.500000  0.402778   NaN
4      4    1.031753    1.393666    0.458333  0.381944   NaN
5      5    0.959468    1.096406    0.416667  0.354167   NaN
6      6    0.898649    1.089224    0.458333  0.472222   NaN",0.555556
7,resnet50_0.01_modified_True,resnet50,modified,True,0.01,8,0.5,0.363636,0.4350647142857143,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.999777    0.975530    0.454545  0.537190   NaN
1      1    1.089245    0.960385    0.500000  0.611570   NaN
2      2    0.933255    0.914217    0.500000  0.537190   NaN
3      3    0.972106    0.641125    0.363636  0.727273   NaN
4      4    0.915519    0.792779    0.409091  0.619835   NaN
5      5    0.829136    0.770724    0.363636  0.603306   NaN
6      6    0.807406    0.775789    0.454545  0.545455   NaN",0.727273
8,resnet50_0.01_modified_True,resnet50,modified,True,0.01,9,0.75,0.458333,0.5833332857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.969696    1.287176    0.625000  0.340278   NaN
1      1    1.043207    0.865558    0.458333  0.527778   NaN
2      2    0.951487    1.753890    0.583333  0.326389   NaN
3      3    1.038744    1.059392    0.750000  0.305556   NaN
4      4    0.887774    1.082618    0.500000  0.347222   NaN
5      5    0.891187    1.171890    0.541667  0.347222   NaN
6      6    0.864816    1.169987    0.625000  0.312500   NaN",0.527778
9,resnet50_0.01_modified_True,resnet50,modified,True,0.01,10,0.666667,0.458333,0.5595238571428571,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.048552    0.956117    0.541667  0.381944   NaN
1      1    1.075598    1.410286    0.583333  0.354167   NaN
2      2    1.013956    0.970026    0.458333  0.479167   NaN
3      3    0.956216    0.930159    0.583333  0.465278   NaN
4      4    0.954071    0.986125    0.541667  0.305556   NaN
5      5    0.941745    0.990394    0.541667  0.340278   NaN
6      6    0.912570    0.987364    0.666667  0.368056   NaN",0.479167
10,resnet50_0.01_modified_True,resnet50,modified,True,0.01,11,0.583333,0.208333,0.42261885714285713,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.896408    1.280017    0.583333  0.333333   NaN
1      1    1.060634    0.902652    0.375000  0.625000   NaN
2      2    1.094991    0.933423    0.583333  0.506944   NaN
3      3    1.001482    0.669497    0.375000  0.791667   NaN
4      4    0.964552    0.588744    0.208333  0.756944   NaN
5      5    0.830230    0.767107    0.458333  0.513889   NaN
6      6    0.835220    0.737767    0.375000  0.548611   NaN",0.791667
11,resnet50_0.01_modified_True,resnet50,modified,True,0.01,12,0.545455,0.409091,0.49350657142857146,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.898697    0.678025    0.409091  0.694215   NaN
1      1    1.047859    1.621959    0.500000  0.462810   NaN
2      2    1.033087    1.177375    0.500000  0.446281   NaN
3      3    0.940311    1.293090    0.545455  0.462810   NaN
4      4    0.920282    1.176967    0.500000  0.545455   NaN
5      5    0.872422    1.057698    0.454545  0.570248   NaN
6      6    0.760518    1.115791    0.545455  0.553719   NaN",0.6942149999999999
12,resnet50_0.01_modified_True,resnet50,modified,True,0.01,13,0.791667,0.375,0.517857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.935353    0.799578    0.375000  0.479167   NaN
1      1    0.958218    1.599508    0.458333  0.444444   NaN
2      2    1.065961    1.071574    0.791667  0.215278   NaN
3      3    0.965082    1.293075    0.458333  0.423611   NaN
4      4    0.894587    1.219391    0.583333  0.375000   NaN
5      5    0.823545    1.280472    0.458333  0.326389   NaN
6      6    0.878190    1.218812    0.500000  0.395833   NaN",0.479167
13,resnet50_0.01_modified_True,resnet50,modified,True,0.01,14,0.625,0.416667,0.5119048571428572,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.160856    0.781471    0.416667  0.541667   NaN
1      1    0.959729    0.966643    0.625000  0.444444   NaN
2      2    0.993440    1.282882    0.500000  0.423611   NaN
3      3    0.975299    0.940330    0.541667  0.375000   NaN
4      4    0.883121    1.202700    0.458333  0.388889   NaN
5      5    0.845226    1.120154    0.541667  0.388889   NaN
6      6    0.796604    1.166336    0.500000  0.333333   NaN",0.541667
14,resnet50_0.01_modified_True,resnet50,modified,True,0.01,15,0.625,0.416667,0.4880952857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.007231    1.007703    0.625000  0.444444   NaN
1      1    1.037843    0.662718    0.416667  0.729167   NaN
2      2    1.009756    0.734536    0.416667  0.645833   NaN
3      3    0.922194    0.768635    0.458333  0.576389   NaN
4      4    0.935102    0.872949    0.458333  0.541667   NaN
5      5    0.853667    0.864589    0.541667  0.513889   NaN
6      6    0.816545    1.067532    0.500000  0.444444   NaN",0.729167
15,resnet50_0.01_modified_True,resnet50,modified,True,0.01,16,0.636364,0.454545,0.5064934285714285,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.897737    0.899534    0.454545  0.611570   NaN
1      1    0.941658    0.907275    0.454545  0.669421   NaN
2      2    1.006553    1.253100    0.545455  0.528926   NaN
3      3    0.990056    1.046593    0.636364  0.487603   NaN
4      4    0.909896    0.837954    0.500000  0.586777   NaN
5      5    0.897345    0.776993    0.454545  0.619835   NaN
6      6    0.858145    1.016492    0.500000  0.495868   NaN",0.669421
16,resnet50_0.01_modified_True,resnet50,modified,True,0.01,17,0.583333,0.333333,0.46428557142857146,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.189428    1.157743    0.458333  0.520833   NaN
1      1    1.174201    1.150573    0.375000  0.465278   NaN
2      2    1.004708    0.883560    0.541667  0.500000   NaN
3      3    0.923521    0.863329    0.500000  0.590278   NaN
4      4    0.924343    0.942271    0.458333  0.423611   NaN
5      5    0.873612    0.871368    0.333333  0.541667   NaN
6      6    0.833856    0.936720    0.583333  0.430556   NaN",0.590278
17,resnet50_0.01_modified_True,resnet50,modified,True,0.01,18,0.75,0.416667,0.4940475714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.018664    0.750490    0.458333  0.583333   NaN
1      1    1.080405    1.385115    0.750000  0.312500   NaN
2      2    1.147621    0.812379    0.458333  0.618056   NaN
3      3    1.032160    0.757033    0.500000  0.555556   NaN
4      4    0.989754    0.818515    0.416667  0.562500   NaN
5      5    0.969666    0.888228    0.458333  0.472222   NaN
6      6    0.881183    0.850061    0.416667  0.506944   NaN",0.618056
18,resnet50_0.01_modified_True,resnet50,modified,True,0.01,19,0.5,0.375,0.4404762857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.808371    0.833297    0.500000  0.520833   NaN
1      1    1.088805    0.808191    0.500000  0.631944   NaN
2      2    1.001630    0.816375    0.416667  0.722222   NaN
3      3    0.908948    0.730734    0.375000  0.597222   NaN
4      4    0.935126    0.780481    0.500000  0.590278   NaN
5      5    0.888000    0.687789    0.416667  0.590278   NaN
6      6    0.884722    0.670675    0.375000  0.638889   NaN",0.722222
19,resnet50_0.01_modified_True,resnet50,modified,True,0.01,20,0.727273,0.454545,0.5779219999999999,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.936891    0.769727    0.500000  0.537190   NaN
1      1    0.946250    1.069626    0.590909  0.388430   NaN
2      2    0.837580    1.213718    0.454545  0.537190   NaN
3      3    0.964354    1.036893    0.500000  0.446281   NaN
4      4    0.969583    1.197208    0.590909  0.314050   NaN
5      5    0.949029    1.183632    0.727273  0.247934   NaN
6      6    0.907985    1.220136    0.681818  0.181818   NaN",0.53719
20,resnet50_0.01_modified_True,resnet50,modified,True,0.01,21,0.458333,0.375,0.422619,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.980855    0.805233    0.458333  0.555556   NaN
1      1    1.079457    1.131720    0.375000  0.576389   NaN
2      2    1.030985    0.755717    0.458333  0.597222   NaN
3      3    0.958467    0.763102    0.416667  0.631944   NaN
4      4    0.905280    0.950372    0.416667  0.645833   NaN
5      5    0.855059    0.959531    0.458333  0.625000   NaN
6      6    0.953453    0.707137    0.375000  0.631944   NaN",0.645833
21,resnet50_0.01_modified_True,resnet50,modified,True,0.01,22,0.625,0.375,0.5119048571428572,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.809047    1.036532    0.625000  0.375000   NaN
1      1    0.927308    0.916869    0.541667  0.493056   NaN
2      2    0.904155    1.274784    0.625000  0.381944   NaN
3      3    0.897829    0.914856    0.375000  0.590278   NaN
4      4    0.804678    0.917329    0.458333  0.597222   NaN
5      5    0.855074    0.934541    0.416667  0.555556   NaN
6      6    0.859381    0.960240    0.541667  0.534722   NaN",0.597222
22,resnet50_0.01_modified_True,resnet50,modified,True,0.01,23,0.541667,0.416667,0.4761905714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.199481    0.773355    0.500000  0.458333   NaN
1      1    1.070816    0.773732    0.416667  0.611111   NaN
2      2    0.996461    0.913150    0.500000  0.555556   NaN
3      3    1.071602    1.146124    0.458333  0.465278   NaN
4      4    1.029694    0.850966    0.541667  0.451389   NaN
5      5    0.899885    0.926040    0.500000  0.486111   NaN
6      6    0.913360    0.902227    0.416667  0.479167   NaN",0.611111
23,resnet50_0.01_modified_True,resnet50,modified,True,0.01,24,0.5,0.363636,0.44155828571428574,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.137568    0.871568    0.409091  0.611570   NaN
1      1    1.212215    1.171406    0.500000  0.471074   NaN
2      2    1.244964    1.481496    0.500000  0.661157   NaN
3      3    1.078177    0.772778    0.363636  0.570248   NaN
4      4    0.959625    0.827204    0.454545  0.545455   NaN
5      5    0.879862    0.793437    0.454545  0.553719   NaN
6      6    0.821516    0.726231    0.409091  0.628099   NaN",0.661157
24,resnet50_0.01_modified_True,resnet50,modified,True,0.01,25,0.625,0.333333,0.42857128571428577,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.059877    0.971480    0.500000  0.444444   NaN
1      1    0.977203    1.120248    0.625000  0.395833   NaN
2      2    1.101531    0.971855    0.458333  0.611111   NaN
3      3    1.087940    0.701903    0.333333  0.659722   NaN
4      4    0.988840    0.660676    0.375000  0.666667   NaN
5      5    0.890327    0.627409    0.333333  0.750000   NaN
6      6    0.785484    0.639749    0.375000  0.729167   NaN",0.75
25,resnet50_0.01_modified_True,resnet50,modified,True,0.01,26,0.583333,0.333333,0.49999985714285716,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.046798    0.893371    0.333333  0.611111   NaN
1      1    1.041584    1.066630    0.541667  0.569444   NaN
2      2    0.960902    0.992155    0.458333  0.548611   NaN
3      3    0.897549    1.032062    0.583333  0.479167   NaN
4      4    0.874022    0.943163    0.583333  0.381944   NaN
5      5    0.886566    0.809073    0.500000  0.520833   NaN
6      6    0.847017    0.879475    0.500000  0.465278   NaN",0.611111
26,resnet50_0.01_modified_True,resnet50,modified,True,0.01,27,0.583333,0.333333,0.5059522857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.101091    1.210599    0.583333  0.256944   NaN
1      1    0.961190    1.487360    0.583333  0.388889   NaN
2      2    1.136652    1.187934    0.500000  0.444444   NaN
3      3    1.143224    1.028908    0.541667  0.416667   NaN
4      4    0.938651    0.880889    0.541667  0.479167   NaN
5      5    0.878319    0.771901    0.458333  0.659722   NaN
6      6    0.873395    0.724173    0.333333  0.701389   NaN",0.701389
27,resnet50_0.01_modified_True,resnet50,modified,True,0.01,28,0.681818,0.5,0.5974027142857142,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.888824    1.153026    0.545455  0.396694   NaN
1      1    0.987690    1.257321    0.590909  0.330579   NaN
2      2    0.948428    1.340352    0.681818  0.421488   NaN
3      3    1.030579    0.930358    0.500000  0.388430   NaN
4      4    0.914008    0.971702    0.636364  0.297521   NaN
5      5    0.876374    1.014406    0.590909  0.322314   NaN
6      6    0.874943    0.897712    0.636364  0.380165   NaN",0.42148800000000003
28,resnet50_0.01_modified_True,resnet50,modified,True,0.01,29,0.625,0.333333,0.4940475714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.893142    1.097190    0.625000  0.298611   NaN
1      1    0.938587    1.086347    0.541667  0.479167   NaN
2      2    0.943544    1.030555    0.458333  0.534722   NaN
3      3    0.988484    0.818480    0.541667  0.500000   NaN
4      4    0.899675    0.661151    0.500000  0.729167   NaN
5      5    0.893531    0.677455    0.458333  0.625000   NaN
6      6    0.909574    0.627144    0.333333  0.673611   NaN",0.729167
29,resnet50_0.01_modified_True,resnet50,modified,True,0.01,30,0.583333,0.375,0.48214285714285715,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.844068    1.084394    0.583333  0.534722   NaN
1      1    1.111414    0.987691    0.541667  0.548611   NaN
2      2    1.044799    0.942604    0.416667  0.493056   NaN
3      3    0.937432    1.185024    0.458333  0.569444   NaN
4      4    0.934436    0.720408    0.458333  0.618056   NaN
5      5    0.905795    0.759350    0.541667  0.500000   NaN
6      6    0.967046    0.692981    0.375000  0.638889   NaN",0.638889
30,resnet50_0.01_modified_True,resnet50,modified,True,0.01,31,0.666667,0.5,0.5595239999999999,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.887014    0.945227    0.500000  0.506944   NaN
1      1    0.960848    1.039764    0.541667  0.423611   NaN
2      2    0.950551    0.946092    0.666667  0.416667   NaN
3      3    0.934070    1.073648    0.583333  0.375000   NaN
4      4    0.939267    0.953039    0.541667  0.388889   NaN
5      5    0.895282    0.902629    0.541667  0.416667   NaN
6      6    0.871163    0.877754    0.541667  0.312500   NaN",0.506944
31,resnet50_0.01_modified_True,resnet50,modified,True,0.01,32,0.681818,0.5,0.5779222857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.070579    1.000288    0.500000  0.504132   NaN
1      1    1.042010    1.152443    0.545455  0.462810   NaN
2      2    0.954768    1.200567    0.681818  0.404959   NaN
3      3    1.049964    0.945268    0.636364  0.338843   NaN
4      4    0.976042    0.860274    0.545455  0.454545   NaN
5      5    0.924181    1.008681    0.636364  0.322314   NaN
6      6    0.903416    1.097051    0.500000  0.380165   NaN",0.504132
32,resnet50_0.01_modified_True,resnet50,modified,True,0.01,33,0.583333,0.458333,0.5059522857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.077224    0.846290    0.500000  0.520833   NaN
1      1    1.042491    1.225274    0.500000  0.527778   NaN
2      2    0.992861    0.899606    0.458333  0.527778   NaN
3      3    0.901140    1.010968    0.541667  0.506944   NaN
4      4    0.934742    0.892578    0.458333  0.472222   NaN
5      5    0.855248    0.930142    0.500000  0.472222   NaN
6      6    0.957948    0.886939    0.583333  0.451389   NaN",0.527778
33,resnet50_0.01_modified_True,resnet50,modified,True,0.01,34,0.583333,0.375,0.4702381428571428,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.024382    0.919674    0.541667  0.472222   NaN
1      1    0.965235    1.058389    0.583333  0.402778   NaN
2      2    0.964724    0.919337    0.416667  0.416667   NaN
3      3    1.061628    0.987940    0.375000  0.472222   NaN
4      4    0.987334    1.010379    0.458333  0.534722   NaN
5      5    0.989085    0.925606    0.500000  0.513889   NaN
6      6    0.986808    0.842719    0.416667  0.520833   NaN",0.534722
34,resnet50_0.01_modified_True,resnet50,modified,True,0.01,35,0.666667,0.25,0.4702382857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.010374    0.934807    0.541667  0.472222   NaN
1      1    0.846702    1.344694    0.666667  0.347222   NaN
2      2    1.014351    0.808189    0.500000  0.548611   NaN
3      3    1.001350    0.633089    0.250000  0.729167   NaN
4      4    0.869284    0.791813    0.541667  0.465278   NaN
5      5    0.919275    0.746896    0.416667  0.583333   NaN
6      6    0.943907    0.734522    0.375000  0.562500   NaN",0.729167
35,resnet50_0.01_modified_True,resnet50,modified,True,0.01,36,0.681818,0.227273,0.47402585714285717,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.981993    0.823245    0.454545  0.487603   NaN
1      1    1.061438    1.004256    0.681818  0.462810   NaN
2      2    0.986943    1.175004    0.681818  0.314050   NaN
3      3    0.953052    0.767689    0.227273  0.652893   NaN
4      4    0.835479    0.883387    0.454545  0.578512   NaN
5      5    0.826589    0.823741    0.409091  0.586777   NaN
6      6    0.894669    0.868195    0.409091  0.537190   NaN",0.6528930000000001
36,resnet50_0.01_modified_True,resnet50,modified,True,0.01,37,0.666667,0.458333,0.5714285714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.276656    0.946511    0.583333  0.520833   NaN
1      1    1.217335    1.191378    0.458333  0.472222   NaN
2      2    1.000607    1.138213    0.541667  0.437500   NaN
3      3    0.992101    0.882908    0.500000  0.451389   NaN
4      4    0.979645    1.075087    0.666667  0.361111   NaN
5      5    0.885352    0.984965    0.666667  0.375000   NaN
6      6    0.896273    0.955309    0.583333  0.430556   NaN",0.520833
37,resnet50_0.01_modified_True,resnet50,modified,True,0.01,38,0.583333,0.416667,0.5178572857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.757194    0.878882    0.416667  0.562500   NaN
1      1    1.085149    1.517807    0.541667  0.388889   NaN
2      2    0.939649    1.016347    0.583333  0.402778   NaN
3      3    0.944282    1.409312    0.500000  0.437500   NaN
4      4    0.887391    1.466564    0.500000  0.430556   NaN
5      5    0.887826    1.417906    0.541667  0.284722   NaN
6      6    0.904314    1.352106    0.541667  0.368056   NaN",0.5625
38,resnet50_0.01_modified_True,resnet50,modified,True,0.01,39,0.666667,0.5,0.5654762857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.996951    1.434305    0.666667  0.173611   NaN
1      1    1.015610    1.314714    0.625000  0.256944   NaN
2      2    0.996104    0.920711    0.583333  0.500000   NaN
3      3    0.924406    0.978642    0.541667  0.465278   NaN
4      4    0.982858    0.813979    0.500000  0.500000   NaN
5      5    0.915691    0.952134    0.541667  0.409722   NaN
6      6    0.881662    0.845072    0.500000  0.513889   NaN",0.513889
39,resnet50_0.01_modified_True,resnet50,modified,True,0.01,40,0.636364,0.409091,0.49350642857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.015805    1.151236    0.636364  0.404959   NaN
1      1    1.164737    1.333099    0.500000  0.471074   NaN
2      2    1.044982    0.907472    0.454545  0.495868   NaN
3      3    0.941749    0.674929    0.409091  0.776860   NaN
4      4    0.929427    0.670906    0.454545  0.619835   NaN
5      5    0.937825    0.616228    0.454545  0.727273   NaN
6      6    0.983342    0.799552    0.545455  0.553719   NaN",0.77686
